area_code,area_name,population,conv_store
00000,全国,126226568,
01000,北海道,5228885,
01100,札幌市,1975065,
01101,札幌市中央区,248840,209
01102,札幌市北区,289667,131
01103,札幌市東区,265536,125
01104,札幌市白石区,212001,99
01105,札幌市豊平区,225482,97
01106,札幌市南区,135966,54
01107,札幌市西区,217230,88
01108,札幌市厚別区,125182,43
01109,札幌市手稲区,142712,56
01110,札幌市清田区,112449,36
01202,函館市,251271,156
01203,小樽市,111422,51
01204,旭川市,329513,167
01205,室蘭市,82457,46
01206,釧路市,165230,96
01207,帯広市,166690,87
01208,北見市,115608,71
01209,夕張市,7341,5
01210,岩見沢市,79424,49
01211,網走市,35783,20
01212,留萌市,20123,10
01213,苫小牧市,170234,102
01214,稚内市,33584,18
01215,美唄市,20430,11
01216,芦別市,12578,7
01217,江別市,121145,49
01218,赤平市,9707,5
01219,紋別市,21224,16
01220,士別市,17872,9
01221,名寄市,27289,16
01222,三笠市,8038,4
01223,根室市,24669,18
01224,千歳市,98019,49
01225,滝川市,39533,27
01226,砂川市,16506,11
01227,歌志内市,2989,2
01228,深川市,20062,11
01229,富良野市,21156,12
01230,登別市,46447,28
01231,恵庭市,70378,33
01233,伊達市,32857,21
01233,伊達市,32857,18
01234,北広島市,58234,24
01235,石狩市,56934,35
01236,北斗市,44331,24
01303,当別町,15921,10
01304,新篠津村,3046,2
01331,松前町,6260,12
01331,松前町,6260,4
01332,福島町,3794,2
01333,知内町,4167,5
01334,木古内町,3836,3
01337,七飯町,27707,14
01343,鹿部町,3762,2
01345,森町,14343,9
01345,森町,14343,7
01346,八雲町,15844,11
01347,長万部町,5113,4
01361,江差町,7435,7
01362,上ノ国町,4308,2
01363,厚沢部町,3593,3
01364,乙部町,3406,3
01367,奥尻町,2412,1
01370,今金町,5076,2
01371,せたな町,7405,4
01391,島牧村,1352,1
01392,寿都町,2837,3
01393,黒松内町,2793,1
01394,蘭越町,4573,3
01395,ニセコ町,5077,2
01396,真狩村,2046,2
01397,留寿都村,1909,4
01398,喜茂別町,2155,2
01399,京極町,2942,2
01400,倶知安町,15137,12
01401,共和町,5775,4
01402,岩内町,11654,9
01403,泊村,1572,1
01404,神恵内村,870,0
01405,積丹町,1831,1
01406,古平町,2755,1
01407,仁木町,3182,2
01408,余市町,18012,11
01409,赤井川村,1165,1
01423,南幌町,7328,3
01424,奈井江町,5122,3
01425,上砂川町,2847,2
01427,由仁町,4818,5
01428,長沼町,10300,5
01429,栗山町,11262,5
01430,月形町,3692,3
01431,浦臼町,1725,1
01432,新十津川町,6486,4
01433,妹背牛町,2696,1
01434,秩父別町,2330,1
01436,雨竜町,2392,2
01437,北竜町,1711,1
01438,沼田町,2903,1
01452,鷹栖町,6572,3
01453,東神楽町,10141,4
01454,当麻町,6326,3
01455,比布町,3520,2
01456,愛別町,2610,1
01457,上川町,3502,4
01458,東川町,8315,2
