area_code,area_name,population
00000,全国,126226568
01000,北海道,5228885
01100,札幌市,1975065
01101,札幌市中央区,248840
01102,札幌市北区,289667
01103,札幌市東区,265536
01104,札幌市白石区,212001
01105,札幌市豊平区,225482
01106,札幌市南区,135966
01107,札幌市西区,217230
01108,札幌市厚別区,125182
01109,札幌市手稲区,142712
01110,札幌市清田区,112449
01202,函館市,251271
01203,小樽市,111422
01204,旭川市,329513
01205,室蘭市,82457
01206,釧路市,165230
01207,帯広市,166690
01208,北見市,115608
01209,夕張市,7341
01210,岩見沢市,79424
01211,網走市,35783
01212,留萌市,20123
01213,苫小牧市,170234
01214,稚内市,33584
01215,美唄市,20430
01216,芦別市,12578
01217,江別市,121145
01218,赤平市,9707
01219,紋別市,21224
01220,士別市,17872
01221,名寄市,27289
01222,三笠市,8038
01223,根室市,24669
01224,千歳市,98019
01225,滝川市,39533
01226,砂川市,16506
01227,歌志内市,2989
01228,深川市,20062
01229,富良野市,21156
01230,登別市,46447
01231,恵庭市,70378
01233,伊達市,32857
01234,北広島市,58234
01235,石狩市,56934
01236,北斗市,44331
01303,当別町,15921
01304,新篠津村,3046
01331,松前町,6260
01332,福島町,3794
01333,知内町,4167
01334,木古内町,3836
01337,七飯町,27707
01343,鹿部町,3762
01345,森町,14343
01346,八雲町,15844
01347,長万部町,5113
01361,江差町,7435
01362,上ノ国町,4308
01363,厚沢部町,3593
01364,乙部町,3406
01367,奥尻町,2412
01370,今金町,5076
01371,せたな町,7405
01391,島牧村,1352
01392,寿都町,2837
01393,黒松内町,2793
01394,蘭越町,4573
01395,ニセコ町,5077
01396,真狩村,2046
01397,留寿都村,1909
01398,喜茂別町,2155
01399,京極町,2942
01400,倶知安町,15137
01401,共和町,5775
01402,岩内町,11654
01403,泊村,1572
01404,神恵内村,870
01405,積丹町,1831
01406,古平町,2755
01407,仁木町,3182
01408,余市町,18012
01409,赤井川村,1165
01423,南幌町,7328
01424,奈井江町,5122
01425,上砂川町,2847
01427,由仁町,4818
01428,長沼町,10300
01429,栗山町,11262
01430,月形町,3692
01431,浦臼町,1725
01432,新十津川町,6486
01433,妹背牛町,2696
01434,秩父別町,2330
01436,雨竜町,2392
01437,北竜町,1711
01438,沼田町,2903
01452,鷹栖町,6572
01453,東神楽町,10141
01454,当麻町,6326
01455,比布町,3520
01456,愛別町,2610
01457,上川町,3502
01458,東川町,8315
01459,美瑛町,9717
01460,上富良野町,10353
01461,中富良野町,4741
01462,南富良野町,2376
01463,占冠村,1307
01464,和寒町,3193
01465,剣淵町,2927
01468,下川町,3127
01469,美深町,4147
01470,音威子府村,706
01471,中川町,1528
01472,幌加内町,1371
01481,増毛町,3912
01482,小平町,2998
01483,苫前町,2936
01484,羽幌町,6551
01485,初山別村,1080
01486,遠別町,2521
01487,天塩町,2950
01511,猿払村,2612
01512,浜頓別町,3454
01513,中頓別町,1638
